,1,2,3,4,5,6,7,Total
NATUNA,0.917808,0.000000,0.041096,0.027397,0.000000,0.013699,0.000000,73
NDUGA,0.812500,0.000000,0.000000,0.093750,0.000000,0.093750,0.000000,32
NGADA,0.893204,0.000000,0.000000,0.038835,0.000000,0.067961,0.000000,103
NGANJUK,0.728873,0.000000,0.007042,0.091549,0.003521,0.154930,0.014085,284
NGAWI,0.958525,0.004608,0.000000,0.032258,0.000000,0.004608,0.000000,217
NIAS,0.924370,0.000000,0.008403,0.025210,0.000000,0.042017,0.000000,119
NIAS BARAT,0.927273,0.000000,0.009091,0.000000,0.000000,0.063636,0.000000,110
NIAS SELATAN,0.966292,0.019663,0.000000,0.005618,0.000000,0.005618,0.002809,356
NIAS UTARA,0.477876,0.008850,0.044248,0.274336,0.008850,0.115044,0.070796,113
NUNUKAN,0.958333,0.012500,0.000000,0.012500,0.000000,0.016667,0.000000,240
OGAN ILIR,0.946058,0.000000,0.004149,0.008299,0.000000,0.041494,0.000000,241
OGAN KOMERING ILIR,0.987097,0.003226,0.003226,0.000000,0.000000,0.006452,0.000000,310
OGAN KOMERING ULU,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,154
OGAN KOMERING ULU SELATAN,0.945946,0.003861,0.000000,0.015444,0.000000,0.034749,0.000000,259
OGAN KOMERING ULU TIMUR,0.949324,0.000000,0.000000,0.010135,0.000000,0.040541,0.000000,296
PACITAN,0.994152,0.000000,0.000000,0.005848,0.000000,0.000000,0.000000,171
PADANG,0.913462,0.000000,0.009615,0.009615,0.000000,0.048077,0.019231,104
PADANG LAWAS,0.957237,0.000000,0.003289,0.000000,0.000000,0.039474,0.000000,304
PADANG LAWAS UTARA,0.984536,0.002577,0.000000,0.007732,0.000000,0.005155,0.000000,388
PADANG PANJANG,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16
